ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
234040747,09/25/2021,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,Q,101,0,25-44,M,BLACK,1049232,159210,40.60344094100003,-73.76598558899997,POINT (-73.76598558899997 40.60344094100003)
233424190,09/11/2021,157,RAPE 1,104,RAPE,PL 1303501,F,Q,104,0,25-44,M,BLACK,1013764,195875,40.70426739000004,-73.89355375999997,POINT (-73.89355375999997 40.70426739000004)
232950216,08/31/2021,166,SODOMY 2,116,SEX CRIMES,PL 1304501,F,Q,108,0,25-44,M,WHITE,996793,210001,40.74308016800006,-73.95473646099998,POINT (-73.95473646099998 40.74308016800006)
231883145,08/06/2021,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1201003,F,Q,105,0,25-44,M,BLACK,1057767,203993,40.726293088000034,-73.73476084899994,POINT (-73.73476084899994 40.726293088000034)
230531262,07/07/2021,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,Q,105,0,25-44,M,BLACK,1057636,203954,40.72618713000002,-73.73523390399998,POINT (-73.73523390399998 40.72618713000002)
230221189,06/29/2021,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,Q,105,0,25-44,F,BLACK,1051945,180331,40.66139308900005,-73.75600360799997,POINT (-73.75600360799997 40.66139308900005)
230034973,06/24/2021,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,Q,102,0,25-44,M,BLACK,1030111,196599,40.706184974000045,-73.83459047299993,POINT (-73.83459047299993 40.706184974000045)
229419746,06/11/2021,157,RAPE 1,104,RAPE,PL 1303501,F,Q,112,0,25-44,M,WHITE HISPANIC,1025420,202485,40.72236368700004,-73.85147389399998,POINT (-73.85147389399998 40.72236368700004)
228885618,05/30/2021,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,Q,113,0,25-44,M,BLACK,1044016,189890,40.68768738800003,-73.78449777499998,POINT (-73.78449777499998 40.68768738800003)
228839426,05/29/2021,157,RAPE 1,104,RAPE,PL 1303502,F,Q,112,0,45-64,M,BLACK,1025420,202485,40.72236368700004,-73.85147389399998,POINT (-73.85147389399998 40.72236368700004)
226611132,04/07/2021,155,RAPE 2,104,RAPE,PL 1303001,F,Q,112,0,18-24,M,WHITE HISPANIC,1025420,202485,40.72236368700004,-73.85147389399998,POINT (-73.85147389399998 40.72236368700004)
226611126,04/07/2021,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,PL 1402000,F,Q,102,0,45-64,M,WHITE HISPANIC,1031076,193779,40.69843969400005,-73.83112953899997,POINT (-73.83112953899997 40.69843969400005)
226230315,03/29/2021,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,Q,103,0,25-44,M,BLACK,1039024,192717,40.69547913400004,-73.80247483099998,POINT (-73.80247483099998 40.69547913400004)
226086805,03/25/2021,153,RAPE 3,104,RAPE,PL 1302503,F,Q,112,0,45-64,M,WHITE HISPANIC,1025420,202485,40.72236368700004,-73.85147389399998,POINT (-73.85147389399998 40.72236368700004)
224041239,02/06/2021,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,114,0,25-44,M,BLACK,1007694,219657,40.76956124200007,-73.91536344699995,POINT (-73.91536344699995 40.76956124200007)
223782194,01/31/2021,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,107,0,25-44,M,BLACK,1035562,206811,40.734184466000045,-73.81485207099996,POINT (-73.81485207099996 40.734184466000045)
222671436,01/06/2021,157,RAPE 1,104,RAPE,PL 1303501,F,Q,112,0,25-44,M,ASIAN / PACIFIC ISLANDER,1025420,202485,40.72236368700004,-73.85147389399998,POINT (-73.85147389399998 40.72236368700004)
232733936,08/25/2021,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,102,0,25-44,M,ASIAN / PACIFIC ISLANDER,1025702,189082,40.685574333000034,-73.85053903499994,POINT (-73.85053903499994 40.685574333000034)
233584503,09/15/2021,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,PL 1553001,F,Q,109,0,25-44,M,WHITE,1030101,224098,40.78166278200007,-73.83443908599996,POINT (-73.83443908599996 40.78166278200007)
232190596,08/13/2021,177,SEXUAL ABUSE,116,SEX CRIMES,PL 1306502,F,Q,114,0,25-44,M,WHITE HISPANIC,1007654,219564,40.76930608700008,-73.91550817999997,POINT (-73.91550817999997 40.76930608700008)
232586471,08/22/2021,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,Q,106,0,25-44,M,ASIAN / PACIFIC ISLANDER,1028713,187853,40.68218640100008,-73.83969048299997,POINT (-73.83969048299997 40.68218640100008)
233614662,09/15/2021,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,103,15,18-24,M,BLACK,1037558,193899,40.69873239300006,-73.80775216499995,POINT (-73.80775216499995 40.69873239300006)
232657212,08/24/2021,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,Q,103,0,45-64,F,BLACK,1041920,196749,40.70652760300004,-73.79199675599993,POINT (-73.79199675599993 40.70652760300004)
