,ARREST_PRECINCT,OFNS_DESC,Crime Count Historic Avg,Crime Count,Increase in Crime
0,100,ASSAULT 3 & RELATED OFFENSES,246.0,153.0,False
1,100,PETIT LARCENY,130.0,35.0,False
2,100,FELONY ASSAULT,112.0,103.0,False
3,100,GRAND LARCENY,47.0,17.0,False
4,100,ROBBERY,41.0,34.0,False
5,100,BURGLARY,32.0,24.0,False
6,100,SEX CRIMES,27.0,15.0,False
7,100,FRAUDS,8.0,7.0,False
8,100,GRAND LARCENY OF MOTOR VEHICLE,7.0,4.0,False
9,100,OFFENSES INVOLVING FRAUD,1.0,3.0,True
10,101,ASSAULT 3 & RELATED OFFENSES,412.0,135.0,False
11,101,FELONY ASSAULT,256.0,226.0,False
12,101,ROBBERY,107.0,129.0,True
13,101,PETIT LARCENY,71.0,57.0,False
14,101,BURGLARY,52.0,43.0,False
15,101,SEX CRIMES,51.0,40.0,False
16,101,GRAND LARCENY,46.0,25.0,False
17,101,FRAUDS,20.0,4.0,False
18,101,GRAND LARCENY OF MOTOR VEHICLE,15.0,22.0,True
19,101,RAPE,8.0,8.0,False
20,101,OFFENSES INVOLVING FRAUD,5.0,3.0,False
21,102,ASSAULT 3 & RELATED OFFENSES,518.0,173.0,False
22,102,FELONY ASSAULT,205.0,110.0,False
23,102,GRAND LARCENY,187.0,129.0,False
24,102,PETIT LARCENY,138.0,35.0,False
25,102,ROBBERY,91.0,244.0,True
26,102,BURGLARY,60.0,64.0,True
27,102,SEX CRIMES,53.0,54.0,True
28,102,GRAND LARCENY OF MOTOR VEHICLE,32.0,43.0,True
29,102,THEFT-FRAUD,29.0,11.0,False
30,102,OFFENSES INVOLVING FRAUD,19.0,35.0,True
31,102,FRAUDS,14.0,14.0,False
32,102,RAPE,9.0,24.0,True
33,102,BURGLAR'S TOOLS,5.0,14.0,True
34,102,THEFT OF SERVICES,2.0,2.0,False
35,103,ASSAULT 3 & RELATED OFFENSES,605.0,208.0,False
36,103,FELONY ASSAULT,290.0,136.0,False
